,paper_id,author_name,author_affiliation,authorId,affiliation_type_auto,affiliation_type_full
3548,5546e6073f3b82967b12c87d6b90ba722c4b85c6,Licheng Yu,University of North Carolina at Chapel Hill,1714982,Academic,Academic
3550,13bcfb944779165983aaef22cec8a3bbd3e98e62,Jonas Pfeiffer,Technical University Darmstadt,153733568,Academic,Academic
3570,77f08ec1fc1a26d5e2c493be06a305d1480ad1c0,Dinghan Shen,Duke University,19178763,Academic,Academic
3573,77f08ec1fc1a26d5e2c493be06a305d1480ad1c0,Jiawei Han,University of Illinois at Urbana-Champaign,153034701,Academic,Academic
2661,1e43c7084bdcb6b3102afaf301cce10faead2702,Donghyeon Kim,,2145183568,,
2662,1e43c7084bdcb6b3102afaf301cce10faead2702,Sunkyu Kim,,2144247125,,
2663,1e43c7084bdcb6b3102afaf301cce10faead2702,Chan Ho So,,51435068,,
3586,c342798bafc1eaaa60c652fc90fd738941542133,Wissam Antoun,American University of Beirut,51040671,Academic,Academic
2665,e20401e864fdd459c737cc950acfbce53b0d3492,Kai Shuang,,2198730,,
2666,e20401e864fdd459c737cc950acfbce53b0d3492,Rui Li,,2150925926,,
2667,e20401e864fdd459c737cc950acfbce53b0d3492,Mengyu Gu,,90736633,,
2668,e20401e864fdd459c737cc950acfbce53b0d3492,Jonathan Loo,,2065022890,,
2669,e20401e864fdd459c737cc950acfbce53b0d3492,Sen Su,,3185257,,
2670,a039ea239e37f53a2cb60c68e0a1967994353166,Jesse Vig,,2056908,,
3595,aea9f18d70a78d39ca927f2baa143e084c486086,Wissam Antoun,American University of Beirut,51040671,Academic,Academic
3599,6b85f8e8f6dc6bbc290eaa7759b756dc75902051,Ivan Himawan,Queensland University of Technology,1768576,Academic,Academic
3625,c44120f765fc43994c5cfb4e12e4f62999efeae6,Patrick Lewis,University College London,145222654,Academic,Academic
3638,320efa53dea3e8f836790682fbd4196132c49749,He Bai,University of Waterloo,37374479,Academic,Academic
2675,db95ba221305a3aa2ec8bbc78de0f42485c63c12,Peng Xu,,145011005,,
2676,db95ba221305a3aa2ec8bbc78de0f42485c63c12,Hyeon-Jin Kim,,2109895682,,
3656,f45261b7b53043c316f45f613cb735907b93fb5a,Zhiyuan Zhang,Peking University,50317060,Academic,Academic
2678,db95ba221305a3aa2ec8bbc78de0f42485c63c12,Pascale Fung,,40539650,,
